title,url,probability,actualEstimate,platform,date_approx,category,description
At least 1 billion dead as a result of the single biggest nanotech accident before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.01,1%,GCR Conference,2008,Nanotechnology/non-existential,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A. 
At least 1 million dead as a result of all nuclear wars before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.3,30%,GCR Conference,2008,Nuclear/non-existential,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.
At least 1 billion dead as a result of all nuclear wars before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.1,10%,GCR Conference,2008,Nuclear/non-existential,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A. 
At least 1 million dead as a result of all acts of nuclear terrorism before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.3,30%,GCR Conference,2008,Nuclear/non-existential,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.
At least 1 billion dead as a result of all acts of nuclear terrorism before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.1,10%,GCR Conference,2008,Nuclear/non-existential,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A. 
chance of a full-scale nuclear war in the next century,https://80000hours.org/podcast/episodes/toby-ord-the-precipice-existential-risk-future-humanity/#transcript,0.05,~5%,Toby Ord,2020,Nuclear/non-existential,"""I give existential risk over the next century from nuclear war at about one in a thousand. I initially thought it would be higher than that. That’s actually something that while researching the book, thought was a lower risk than I had initially thought. And how I’d break it down is to something like a 5% chance of a full-scale nuclear war in the next century and a 2% chance that that would be the end of human potential."" Ord discusses his reasoning more both in that interview and in The Precipice."
Per year chance of nuclear war,https://forum.effectivealtruism.org/posts/PAYa6on5gJKwAywrF/how-likely-is-a-nuclear-exchange-between-the-us-and-russia-1,0.011,1.10%,Aggregation by Luisa Rodriguez,2019,Nuclear/non-existential,"""In this post, I get a rough sense of how probable a nuclear war might be by looking at historical evidence, the views of experts, and predictions made by forecasters. I find that, if we aggregate those perspectives, there’s about a 1.1% chance of nuclear war each year, and that the chances of a nuclear war between the US and Russia, in particular, are around 0.38% per year."" This is not presented as Luisa's own credence; this may not be the number she herself would give. Readers may also be interested in the estimates implied by each of the perspectives Luisa aggregates."
Per year chance of nuclear war between the US and Russia,https://forum.effectivealtruism.org/posts/PAYa6on5gJKwAywrF/how-likely-is-a-nuclear-exchange-between-the-us-and-russia-1,0.0038,0.38%,Aggregation by Luisa Rodriguez,2019,Nuclear/non-existential,"""In this post, I get a rough sense of how probable a nuclear war might be by looking at historical evidence, the views of experts, and predictions made by forecasters. I find that, if we aggregate those perspectives, there’s about a 1.1% chance of nuclear war each year, and that the chances of a nuclear war between the US and Russia, in particular, are around 0.38% per year."" This is not presented as Luisa's own credence; this may not be the number she herself would give. Readers may also be interested in the estimates implied by each of the perspectives Luisa aggregates."
Climate change will cause more suffering than it prevents,https://reducing-suffering.org/summary-beliefs-values-big-questions/,0.5,50%,Brian Tomasik,2015,Climate change/non-existential,
At least 1 million dead as a result of all wars (including civil wars) before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.98,98%,GCR Conference,2008,Miscellaneous/non-existential,
At least 1 billion dead as a result of all wars (including civil wars) before 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.3,30%,GCR Conference,2008,Miscellaneous/non-existential,
Human-inspired colonization of space will cause more suffering than it prevents if it happens,https://reducing-suffering.org/summary-beliefs-values-big-questions/,0.72,72%,Brian Tomasik,2015,Miscellaneous/non-existential,
Earth will eventually be controlled by a singleton of some sort,https://reducing-suffering.org/summary-beliefs-values-big-questions/,0.72,72%,Brian Tomasik,2015,Miscellaneous/non-existential,
Earth will eventually be controlled by a singleton of some sort,http://www.stafforini.com/blog/what_i_believe/,0.7,70%,Pablo Stafforini,2015,Miscellaneous/non-existential,
Earth-originating intelligence will colonize the entire galaxy (ignoring anthropic arguments),https://reducing-suffering.org/summary-beliefs-values-big-questions/,0.5,50%,Brian Tomasik,2015,Miscellaneous/non-existential,
Earth-originating intelligence will colonize the entire galaxy (ignoring anthropic arguments),http://www.stafforini.com/blog/what_i_believe/,0.1,10%,Pablo Stafforini,2015,Miscellaneous/non-existential,
